선수,날짜,연도,팀,보직,pbp_source_games,pbp_pitcher_ids,pbp_pitch_count,pbp_tracked_pitches,pbp_avg_velocity,pbp_hard_velocity,pbp_hard_usage,pbp_csw_rate,pbp_zone_rate,pbp_first_pitch_strike_rate,pbp_late_velocity_delta,pbp_high_pressure_share,pbp_entry_inning,pbp_entry_outs,pbp_entry_runners,pbp_entry_run_margin,pbp_entry_base_out_re,pbp_close_late_entry,pbp_hard_release_count,pbp_hard_release_side_ft,pbp_hard_release_height_ft,pbp_hard_release_dispersion_in,pbp_batters_faced,pbp_re24_allowed,pbp_re24_allowed_per_bf,pbp_pitch_count_difference
원태인,2023-07-02,2023,삼성,SP,1,1,109,109,133.697248,142.083333,0.440367,0.266055,0.477064,0.625,-2.8125,0.0,1,0,0,0,0.559513,False,48,-1.183575,5.761465,2.173394,24,-2.357075,-0.098211,0
원태인,2023-07-12,2023,삼성,SP,1,1,102,102,136.911765,145.195652,0.45098,0.245098,0.470588,0.642857,-0.4,0.039216,1,0,0,0,0.559513,False,46,-1.39224,5.749805,1.886866,28,-0.137993,-0.004928,0
원태인,2023-07-22,2023,삼성,SP,1,1,104,104,136.211538,144.326923,0.5,0.288462,0.557692,0.518519,0.235294,0.163462,1,0,0,0,0.559513,False,52,-1.0399,5.72593,2.059999,27,-0.871958,-0.032295,0
원태인,2023-07-28,2023,삼성,SP,1,1,101,101,133.445545,145.888889,0.267327,0.306931,0.564356,0.555556,1.0,0.0,1,0,0,0,0.559513,False,27,-1.10498,5.67213,1.647428,27,-0.916588,-0.033948,0
원태인,2023-08-03,2023,삼성,SP,1,1,105,105,137.238095,146.638298,0.447619,0.228571,,0.62069,-2.2,0.0,1,0,0,0,0.559513,False,0,,,,29,2.544737,0.08775,0
원태인,2023-08-09,2023,삼성,SP,1,1,100,100,136.5,143.759259,0.54,0.24,0.52,0.541667,-0.166667,0.0,1,0,0,0,0.559513,False,54,-1.304815,5.747365,1.738891,24,-0.357075,-0.014878,0
원태인,2023-08-15,2023,삼성,SP,1,1,102,102,135.764706,147.096774,0.303922,0.22549,0.470588,0.375,-0.7,0.0,1,0,0,0,0.559513,False,31,-1.08787,5.76053,2.430761,24,-1.357075,-0.056545,0
원태인,2023-08-20,2023,삼성,SP,1,1,33,33,125.878788,142.888889,0.272727,0.333333,0.606061,0.625,-1.333333,0.0,1,0,0,0,0.559513,False,9,-1.13189,5.97402,1.541026,8,-1.391034,-0.173879,0
원태인,2023-08-27,2023,삼성,SP,1,1,92,92,133.434783,143.071429,0.456522,0.336957,0.51087,0.769231,-0.857143,0.0,1,0,0,0,0.559513,False,42,-1.01047,5.754225,1.615748,26,-3.916588,-0.150638,0
원태인,2023-09-02,2023,삼성,SP,1,1,43,43,136.604651,143.92,0.581395,0.232558,0.651163,0.777778,-4.75,0.0,1,0,0,0,0.559513,False,25,-1.09708,5.78542,1.980649,9,-1.119025,-0.124336,0
원태인,2023-09-07,2023,삼성,SP,1,1,112,112,134.776786,144.470588,0.455357,0.223214,,0.518519,-1.411765,0.169643,1,0,0,1,0.559513,False,0,,,,27,-2.804877,-0.103884,0
원태인,2023-09-14,2023,삼성,SP,1,1,101,101,134.287129,142.68,0.49505,0.257426,0.49505,0.64,-0.8125,0.0,1,0,0,0,0.559513,False,50,-1.062285,5.727235,1.791461,25,0.642925,0.025717,0
원태인,2023-10-15,2023,삼성,SP,1,1,110,110,132.927273,144.844444,0.409091,0.218182,0.472727,0.666667,-0.666667,0.0,1,0,0,0,0.559513,False,45,-1.00394,5.73469,1.719787,24,0.202437,0.008435,0
원태인,2024-03-27,2024,삼성,SP,1,1,92,92,131.48913,144.65,0.217391,0.336957,0.48913,0.5,-0.166667,0.0,1,0,0,0,0.559513,False,20,-1.25829,5.82256,2.305396,22,-1.797563,-0.081707,0
원태인,2024-04-02,2024,삼성,SP,1,1,95,95,131.273684,142.424242,0.347368,0.242105,0.494737,0.695652,-1.909091,0.0,1,0,0,0,0.559513,False,33,-1.34831,5.69703,1.748231,23,1.202437,0.05228,0
원태인,2024-04-09,2024,삼성,SP,1,1,94,94,131.382979,140.261905,0.446809,0.297872,0.382979,0.695652,0.071429,0.0,1,0,0,0,0.559513,False,42,-1.247965,5.794025,2.17971,23,-2.357075,-0.102482,0
원태인,2024-04-14,2024,삼성,SP,1,1,101,101,133.693069,143.585366,0.405941,0.257426,0.405941,0.565217,-0.846154,0.0,1,0,0,0,0.559513,False,41,-1.29125,5.67043,1.760552,23,-0.789446,-0.034324,0
원태인,2024-04-20,2024,삼성,SP,1,1,102,102,132.186275,142.564103,0.382353,0.313725,0.392157,0.761905,-1.461538,0.0,1,0,0,0,0.559513,False,39,-1.12,5.66039,1.745222,21,-3.357075,-0.159861,0
원태인,2024-04-26,2024,삼성,SP,1,1,100,100,134.1,144.633333,0.3,0.32,0.42,0.730769,0.5,0.12,1,0,0,0,0.559513,False,30,-1.2909,5.9148,1.885923,26,-3.916588,-0.150638,0
원태인,2024-05-02,2024,삼성,SP,1,1,92,92,134.673913,145.0,0.358696,0.271739,0.434783,0.695652,0.0,0.0,1,0,0,0,0.559513,False,33,-1.30709,5.85049,1.889529,23,-2.357075,-0.102482,0
원태인,2024-05-08,2024,삼성,SP,1,1,98,98,133.612245,143.516129,0.316327,0.295918,0.408163,0.695652,-1.6,0.0,1,0,0,0,0.559513,False,31,-1.31202,5.7014,1.812251,23,-3.357075,-0.14596,0
원태인,2024-05-14,2024,삼성,SP,1,1,104,104,135.788462,144.276596,0.451923,0.25,0.451923,0.555556,-2.133333,0.0,1,0,0,0,0.559513,False,47,-1.1711,5.8066,1.570743,27,0.642925,0.023812,0
원태인,2024-05-21,2024,삼성,SP,1,1,100,100,134.97,140.351852,0.54,0.28,0.38,0.347826,-3.5,0.0,1,0,0,0,0.559513,False,54,-1.31206,5.73399,2.176436,23,0.202437,0.008802,0
원태인,2024-05-26,2024,삼성,SP,1,1,109,109,133.678899,142.283333,0.550459,0.229358,0.422018,0.518519,-2.85,0.0,1,0,0,1,0.559513,False,60,-1.39942,5.908785,2.03966,27,1.754636,0.064987,0
원태인,2024-06-01,2024,삼성,SP,1,1,92,92,138.271739,143.183333,0.652174,0.26087,0.478261,0.555556,0.15,0.0,1,0,0,0,0.559513,False,60,-1.280395,5.762115,1.935617,27,0.642925,0.023812,0
원태인,2024-06-07,2024,삼성,SP,1,1,95,95,137.063158,145.119048,0.442105,0.252632,0.484211,0.478261,-0.571429,0.0,1,0,0,0,0.559513,False,42,-1.321435,5.73563,1.47776,23,-0.797563,-0.034677,0
원태인,2024-06-19,2024,삼성,SP,1,1,109,109,136.880734,143.54,0.458716,0.201835,0.414894,0.5,-1.5,0.0,1,0,0,0,0.559513,False,45,-1.26197,5.70058,1.931629,26,-1.357075,-0.052195,0
원태인,2024-06-25,2024,삼성,SP,1,1,104,104,135.115385,141.375,0.615385,0.278846,0.538462,0.64,-2.0,0.0,1,0,0,0,0.559513,False,64,-1.267245,5.857205,1.896901,25,0.642925,0.025717,0
원태인,2024-06-30,2024,삼성,SP,1,1,109,109,136.706422,142.079365,0.577982,0.275229,0.394495,0.6,-0.380952,0.0,1,0,0,0,0.559513,False,63,-1.47608,5.5666,1.843415,25,-0.797563,-0.031903,0
원태인,2024-07-13,2024,삼성,SP,1,1,23,23,134.347826,141.833333,0.521739,0.217391,0.478261,0.571429,0.75,0.0,1,0,0,0,0.559513,False,12,-1.253995,5.95418,2.057798,7,3.683934,0.526276,0
원태인,2024-07-20,2024,삼성,SP,1,1,105,105,138.047619,142.771429,0.666667,0.238095,0.538462,0.703704,-2.347826,0.0,1,0,0,0,0.559513,False,70,-1.19298,5.63274,1.578454,27,0.642925,0.023812,0
원태인,2024-07-27,2024,삼성,SP,1,1,106,106,138.254717,142.260274,0.688679,0.330189,0.443396,0.625,-0.041667,0.132075,1,0,0,0,0.559513,False,73,-1.22788,5.62602,1.669624,24,-2.673142,-0.111381,0
원태인,2024-08-02,2024,삼성,SP,1,1,110,110,136.3,142.862069,0.527273,0.309091,0.390909,0.65625,1.421053,0.363636,1,0,0,0,0.559513,False,58,-1.21369,5.625725,1.989676,32,-2.035613,-0.063613,0
원태인,2024-08-08,2024,삼성,SP,1,1,90,90,137.166667,143.122449,0.544444,0.211111,0.422222,0.64,0.875,0.0,1,0,0,0,0.559513,False,49,-1.2214,5.65474,1.986556,25,0.642925,0.025717,0
원태인,2024-08-14,2024,삼성,SP,1,1,100,100,138.47,141.945205,0.73,0.29,0.47,0.730769,0.75,0.19,1,0,0,0,0.559513,False,73,-1.1752,5.61507,1.724302,26,-3.36439,-0.1294,0
