Name,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,2023WBC,2021올림픽,2023아시안게임,2023아시아프로야구챔피언십,2023 아시아 야구 선수권 대회,2019프리미어12,PS_KS,PS_PO,PS_SP,PS_V,PS_WC
김범수,2021,Hanwha,2021-06-18,vs. SSG,RP,,13.5,3,0 ⅔,15,1,1,2,0,0,0,0,,Home,대전 한화생명 볼파크,18:30,25.5,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-22,@ Samsung,RP,,9,3,1,27,1,1,2,0,0,1,0,,Away,대구 삼성 라이온즈 파크,18:30,23,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-24,@ Samsung,RP,,0,1.29,2 ⅓,43,0,0,2,0,3,1,0,,Away,대구 삼성 라이온즈 파크,18:30,24,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-06-27,vs. KT,RP,,9,3,1,22,1,1,3,0,2,0,0,,Home,대전 한화생명 볼파크,17:00,29.4,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-07-01,vs. Doosan,RP,,0,0.75,2 ⅔,36,0,0,1,0,2,1,0,,Home,대전 한화생명 볼파크,18:30,31.1,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-07-05,@ LG,RP,H,0,0.67,3,44,0,0,1,0,1,1,0,,Away,잠실 야구장,18:30,27.2,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-07-09,@ SSG,RP,,0,1.5,1 ⅓,24,0,0,0,0,1,2,0,,Away,인천 SSG 랜더스필드,18:30,26.1,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-07-11,@ SSG,RP,L,0,,0,20,4,4,3,0,0,1,0,,Away,인천 SSG 랜더스필드,17:00,27.4,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-10,@ Kia,RP,L,0,3,0 ⅔,21,2,0,2,0,0,0,1,,Away,광주 기아 챔피언스 필드,18:30,30.2,FALSE,29,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-11,@ Kia,RP,,13.5,3,0 ⅔,22,2,1,0,0,1,2,0,,Away,광주 기아 챔피언스 필드,18:30,30.1,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-14,vs. NC,RP,H,0,0,1,17,0,0,0,0,0,0,0,,Home,대전 한화생명 볼파크,18:00,29.1,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-15,vs. NC,RP,H,0,1,1,16,0,0,1,0,2,0,0,,Home,대전 한화생명 볼파크,17:00,30.7,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-17,vs. Samsung,RP,H,0,0.6,1 ⅔,23,0,0,1,0,5,0,0,,Home,대전 한화생명 볼파크,18:30,29.5,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-20,@ Doosan,RP,,0,0,1,16,0,0,0,0,1,0,0,,Away,잠실 야구장,18:30,29,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-21,@ Doosan,RP,SV,0,0.6,1 ⅔,18,0,0,1,0,2,0,0,,Away,잠실 야구장,18:00,26.7,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-25,@ Kiwoom,RP,,9,1.5,2,31,2,2,2,0,1,1,1,,Away,고척 스카이돔,18:30,25.5,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-26,@ Kiwoom,RP,H,0,3,0 ⅔,16,0,0,1,0,0,1,0,,Away,고척 스카이돔,18:30,25.5,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-29,vs. NC,RP,W,0,0,2,29,0,0,0,0,3,0,0,,Home,대전 한화생명 볼파크,17:00,27,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-08-31,vs. KT,RP,,0,1,1,13,0,0,1,0,1,0,0,,Home,대전 한화생명 볼파크,18:30,26.9,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-03,@ Lotte,RP,,9,3,1,24,1,1,2,0,0,1,0,,Away,사직 야구장,18:30,24.4,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-05,vs. Kia,RP,,18,2,1,17,2,2,1,1,0,1,0,,Home,대전 한화생명 볼파크,14:00,25.9,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-08,@ NC,RP,H,0,0,1,11,0,0,0,0,1,0,0,,Away,창원 NC 파크,18:30,26.1,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-11,vs. Samsung,RP,H,0,0,2 ⅔,36,0,0,0,0,5,0,0,,Home,대전 한화생명 볼파크,17:00,29.5,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-12,vs. Samsung,RP,,0,0,0 ⅓,5,0,0,0,0,0,0,0,,Home,대전 한화생명 볼파크,14:00,28.7,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-15,@ SSG,RP,L,16.2,1.8,1 ⅔,41,3,3,1,0,3,2,0,,Away,인천 SSG 랜더스필드,18:30,24.9,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-19,vs. Lotte,RP,L,6.75,1.5,1 ⅓,20,1,1,2,0,0,0,0,,Home,대전 한화생명 볼파크,14:00,27,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-21,vs. LG,RP,,0,1.5,0 ⅔,16,0,0,0,0,0,1,0,,Home,대전 한화생명 볼파크,18:30,25.8,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-23,@ KT,RP,,0,0,0 ⅔,9,0,0,0,0,1,0,0,,Away,수원 KT 위즈파크,18:30,23.4,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-25,@ Doosan,RP,,0,0,0 ⅔,7,0,0,0,0,0,0,0,,Away,잠실 야구장,17:00,24.1,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-09-26,@ Doosan,RP,,0,0,0 ⅓,5,0,0,0,0,0,0,0,,Away,잠실 야구장,14:00,26.2,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-10-07,vs. SSG,RP,,27,7.5,0 ⅔,29,2,2,2,0,1,3,0,,Home,대전 한화생명 볼파크,18:30,20.1,FALSE,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2022,Hanwha,2022-04-03,@ Doosan,RP,,0,1,1,15,0,0,1,0,1,0,0,,Away,잠실 야구장,14:00,16,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2022,Hanwha,2022-04-05,@ Kia,RP,,13.5,3,0 ⅔,22,1,1,0,0,1,2,0,,Away,광주 기아 챔피언스 필드,18:30,15.2,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
