Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
주권,KT,2025,2025-05-05,vs. NC,RP,,54.0,6.0,0 ⅓,14,2,2,2,0,0,0,0,,Home,수원 KT 위즈파크,14:00,15.5
주권,KT,2025,2025-05-03,vs. Kiwoom,RP,,0.0,0.0,1,9,0,0,0,0,0,0,0,,Home,수원 KT 위즈파크,17:00,12.2
주권,KT,2025,2025-04-24,vs. SSG,RP,,4.5,1.5,2,45,1,1,2,0,1,1,0,,Home,수원 KT 위즈파크,18:30,14.9
주권,KT,2025,2025-04-23,vs. SSG,RP,,0.0,0.0,1,15,0,0,0,0,1,0,0,,Home,수원 KT 위즈파크,18:30,18.7
주권,KT,2025,2025-04-19,@ Kiwoom,RP,,0.0,2.0,1,19,0,0,1,0,1,1,0,,Away,고척 스카이돔,17:00,25.5
주권,KT,2025,2025-04-10,vs. NC,RP,,0.0,1.0,1,15,0,0,1,0,1,0,0,,Home,수원 KT 위즈파크,18:30,14.1
주권,KT,2025,2025-04-03,vs. LG,RP,,0.0,0.0,1,12,0,0,0,0,0,0,0,,Home,수원 KT 위즈파크,18:30,12.2
김재원,KT,2025,2025-06-29,@ Lotte,RP,,9.0,2.0,1,16,1,1,1,0,1,1,0,,Away,사직 야구장,17:00,29.1
김재원,KT,2025,2025-06-03,@ Hanwha,RP,,9.0,2.0,1,18,1,1,0,0,1,2,0,,Away,대전 한화생명 볼파크,18:30,22.3
김재원,KT,2025,2025-05-28,vs. Doosan,RP,,20.25,4.5,1 ⅓,51,3,3,2,0,2,4,1,,Home,수원 KT 위즈파크,18:30,22.0
김재원,KT,2025,2025-05-18,@ LG,RP,,0.0,1.0,1,14,0,0,0,0,0,1,0,,Away,잠실 야구장,14:00,20.1
김민수,KT,2025,2025-07-08,@ SSG,RP,,9.0,2.0,1,13,1,1,2,0,0,0,0,,Away,인천 SSG 랜더스필드,18:30,34.9
김민수,KT,2025,2025-07-04,@ Doosan,RP,,27.0,3.0,0 ⅔,19,2,2,2,0,0,0,0,,Away,잠실 야구장,18:30,30.1
김민수,KT,2025,2025-07-01,vs. Kiwoom,RP,,0.0,1.0,1,10,0,0,1,0,0,0,0,,Home,수원 KT 위즈파크,18:30,31.3
김민수,KT,2025,2025-06-29,@ Lotte,RP,,0.0,6.0,0 ⅓,9,0,0,2,0,1,0,0,,Away,사직 야구장,17:00,29.1
